               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,            0.017915,           0.0059001,           0.0037944,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             8.8e-05,             8.8e-05,             8.8e-05
                  42,             0.01823,           0.0058979,           0.0040573,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.77e-05,            8.77e-05,            8.77e-05
                  43,            0.018585,           0.0058215,           0.0040457,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.74e-05,            8.74e-05,            8.74e-05
                  44,            0.017454,           0.0056029,           0.0033066,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.71e-05,            8.71e-05,            8.71e-05
                  45,            0.018112,           0.0057111,           0.0034596,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.68e-05,            8.68e-05,            8.68e-05
                  46,            0.018017,           0.0058191,           0.0030867,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.65e-05,            8.65e-05,            8.65e-05
                  47,            0.017261,           0.0054704,           0.0029935,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.62e-05,            8.62e-05,            8.62e-05
                  48,            0.016875,           0.0055355,           0.0034261,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.59e-05,            8.59e-05,            8.59e-05
                  49,            0.017522,           0.0056739,           0.0032579,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.56e-05,            8.56e-05,            8.56e-05
                  50,            0.017371,           0.0059066,           0.0036458,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.53e-05,            8.53e-05,            8.53e-05
                  51,            0.017247,           0.0057733,           0.0033032,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             8.5e-05,             8.5e-05,             8.5e-05
                  52,            0.016983,           0.0056101,           0.0028539,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.47e-05,            8.47e-05,            8.47e-05
                  53,             0.01639,           0.0052587,           0.0030725,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.44e-05,            8.44e-05,            8.44e-05
                  54,            0.016448,           0.0053578,           0.0026995,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.41e-05,            8.41e-05,            8.41e-05
                  55,            0.016609,           0.0054258,           0.0032401,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.38e-05,            8.38e-05,            8.38e-05
                  56,            0.016044,           0.0053819,           0.0025254,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.35e-05,            8.35e-05,            8.35e-05
                  57,            0.016531,           0.0055025,           0.0028759,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.32e-05,            8.32e-05,            8.32e-05
                  58,            0.016611,           0.0053284,           0.0025077,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.29e-05,            8.29e-05,            8.29e-05
                  59,             0.01603,           0.0051056,           0.0026277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.26e-05,            8.26e-05,            8.26e-05
                  60,            0.015985,           0.0051466,           0.0026166,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.23e-05,            8.23e-05,            8.23e-05
                  61,            0.015972,           0.0053133,            0.002558,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             8.2e-05,             8.2e-05,             8.2e-05
                  62,             0.01643,           0.0053834,           0.0027778,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.17e-05,            8.17e-05,            8.17e-05
                  63,            0.015817,           0.0050352,           0.0031177,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.14e-05,            8.14e-05,            8.14e-05
                  64,             0.01606,           0.0052799,           0.0023296,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.11e-05,            8.11e-05,            8.11e-05
                  65,              0.0158,           0.0053025,           0.0028185,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.08e-05,            8.08e-05,            8.08e-05
                  66,            0.015622,           0.0050506,           0.0026887,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.05e-05,            8.05e-05,            8.05e-05
                  67,            0.015787,           0.0052978,           0.0021395,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            8.02e-05,            8.02e-05,            8.02e-05
                  68,            0.015841,           0.0054868,           0.0024867,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.99e-05,            7.99e-05,            7.99e-05
                  69,            0.015512,           0.0050933,           0.0022422,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.96e-05,            7.96e-05,            7.96e-05
                  70,            0.015431,           0.0051727,           0.0021718,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.93e-05,            7.93e-05,            7.93e-05
                  71,             0.01501,           0.0049552,           0.0020008,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             7.9e-05,             7.9e-05,             7.9e-05
                  72,            0.015179,           0.0053525,           0.0023121,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.87e-05,            7.87e-05,            7.87e-05
                  73,            0.015488,           0.0051457,           0.0027208,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.84e-05,            7.84e-05,            7.84e-05
                  74,            0.015322,           0.0051274,           0.0026524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.81e-05,            7.81e-05,            7.81e-05
                  75,            0.014866,           0.0048933,           0.0020988,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.78e-05,            7.78e-05,            7.78e-05
                  76,            0.015052,           0.0050732,           0.0018455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.75e-05,            7.75e-05,            7.75e-05
                  77,            0.015412,           0.0049514,           0.0023229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.72e-05,            7.72e-05,            7.72e-05
                  78,            0.015467,           0.0052703,           0.0027389,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.69e-05,            7.69e-05,            7.69e-05
                  79,            0.014545,           0.0049621,           0.0020838,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.66e-05,            7.66e-05,            7.66e-05
                  80,            0.014558,            0.004842,           0.0016939,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.63e-05,            7.63e-05,            7.63e-05
                  81,            0.014679,           0.0049023,           0.0019879,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             7.6e-05,             7.6e-05,             7.6e-05
                  82,            0.014404,           0.0047003,           0.0017225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.57e-05,            7.57e-05,            7.57e-05
