               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.014444,           0.0030195,           0.0016434,              0.9646,             0.95643,             0.97862,             0.74889,            0.018558,           0.0062865,           0.0034659,            0.000895,            0.000895,            0.000895
                  37,            0.014544,             0.00304,           0.0016714,             0.95547,             0.94596,             0.97318,             0.74393,            0.018762,           0.0064266,           0.0036456,            0.000892,            0.000892,            0.000892
                  38,             0.01415,           0.0029416,           0.0016781,             0.97155,             0.93682,             0.97332,              0.7441,            0.018734,           0.0063864,           0.0040771,            0.000889,            0.000889,            0.000889
                  39,            0.014521,           0.0031491,           0.0018337,             0.96528,             0.94662,             0.97879,             0.74308,             0.01845,            0.006412,           0.0037047,            0.000886,            0.000886,            0.000886
                  40,            0.014114,           0.0029742,            0.001539,             0.97066,             0.95545,             0.98071,             0.75021,            0.018677,           0.0065063,           0.0033074,            0.000883,            0.000883,            0.000883
                  41,            0.013881,           0.0029911,           0.0014802,             0.97548,               0.953,               0.978,             0.75473,            0.018376,           0.0065124,           0.0034402,             0.00088,             0.00088,             0.00088
                  42,            0.013765,           0.0029239,           0.0015446,             0.97597,              0.9453,             0.97747,              0.7526,            0.018353,           0.0064883,           0.0035246,            0.000877,            0.000877,            0.000877
                  43,            0.013768,           0.0028128,           0.0015023,             0.96534,             0.95855,             0.97797,             0.75317,            0.018159,           0.0064526,           0.0031916,            0.000874,            0.000874,            0.000874
                  44,            0.013273,           0.0026873,           0.0014532,             0.97957,             0.95792,             0.98102,             0.75527,            0.018409,           0.0065718,           0.0031968,            0.000871,            0.000871,            0.000871
                  45,            0.013125,           0.0026735,           0.0014868,             0.96955,             0.96027,             0.98034,             0.75566,            0.018458,           0.0065699,           0.0029911,            0.000868,            0.000868,            0.000868
                  46,            0.012978,           0.0028578,           0.0014469,             0.96543,              0.9657,             0.97828,             0.75602,            0.018244,           0.0065725,           0.0030737,            0.000865,            0.000865,            0.000865
                  47,            0.012619,           0.0026049,           0.0014102,             0.95888,             0.97195,             0.98063,             0.75671,            0.018333,           0.0065657,           0.0029625,            0.000862,            0.000862,            0.000862
                  48,            0.012363,           0.0025442,           0.0014236,             0.96461,             0.95851,             0.98127,             0.75633,            0.018188,           0.0067089,           0.0029658,            0.000859,            0.000859,            0.000859
