               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.019171,           0.0060299,           0.0041468,             0.95558,             0.94002,              0.9698,             0.73688,            0.018675,           0.0061232,           0.0048028,            9.01e-05,            9.01e-05,            9.01e-05
                  35,             0.01868,           0.0060546,           0.0045848,             0.96242,              0.9484,             0.97196,             0.74455,            0.018471,           0.0061283,           0.0046253,            8.98e-05,            8.98e-05,            8.98e-05
                  36,            0.018472,           0.0057836,           0.0039949,              0.9673,             0.94787,             0.97278,             0.75097,            0.018398,           0.0060118,           0.0043268,            8.95e-05,            8.95e-05,            8.95e-05
                  37,            0.018519,           0.0057186,           0.0043177,             0.96015,             0.94302,             0.96941,             0.75247,            0.018214,           0.0060539,           0.0039733,            8.92e-05,            8.92e-05,            8.92e-05
                  38,            0.018792,           0.0058295,           0.0040496,             0.94672,             0.94352,             0.96459,              0.7442,            0.018255,           0.0060568,           0.0045642,            8.89e-05,            8.89e-05,            8.89e-05
                  39,            0.018219,           0.0060599,           0.0038647,             0.95395,             0.93348,             0.96493,             0.74232,            0.018542,           0.0062982,           0.0052169,            8.86e-05,            8.86e-05,            8.86e-05
                  40,            0.018229,           0.0059233,           0.0037072,             0.96086,             0.94563,             0.96876,             0.75072,            0.018293,            0.006002,             0.00453,            8.83e-05,            8.83e-05,            8.83e-05
                  41,            0.017952,           0.0058967,           0.0037073,             0.96147,             0.93878,             0.97317,             0.74826,            0.018274,           0.0060294,           0.0044486,             8.8e-05,             8.8e-05,             8.8e-05
                  42,             0.01804,           0.0059051,           0.0037799,             0.96331,             0.93764,             0.96961,             0.75568,            0.018024,           0.0059793,           0.0044499,            8.77e-05,            8.77e-05,            8.77e-05
                  43,            0.018692,           0.0058173,           0.0038542,              0.9563,             0.92637,             0.95485,             0.73255,            0.018354,           0.0063918,           0.0051394,            8.74e-05,            8.74e-05,            8.74e-05
